"","GEOID","NAME","variable","estimate","moe"
"225","270530218002","Block Group 2; Census Tract 218; Hennepin County; Minnesota","median_income",200357,28509
"226","270530219001","Block Group 1; Census Tract 219; Hennepin County; Minnesota","median_income",105403,24055
"227","270530219002","Block Group 2; Census Tract 219; Hennepin County; Minnesota","median_income",NA,NA
"228","270530219003","Block Group 3; Census Tract 219; Hennepin County; Minnesota","median_income",116563,35463
"229","270530220001","Block Group 1; Census Tract 220; Hennepin County; Minnesota","median_income",91413,17230
"230","270530220002","Block Group 2; Census Tract 220; Hennepin County; Minnesota","median_income",74375,18579
"231","270530221011","Block Group 1; Census Tract 221.01; Hennepin County; Minnesota","median_income",109342,18305
"232","270530221012","Block Group 2; Census Tract 221.01; Hennepin County; Minnesota","median_income",86250,18649
"233","270530221021","Block Group 1; Census Tract 221.02; Hennepin County; Minnesota","median_income",71912,36914
"234","270530221022","Block Group 2; Census Tract 221.02; Hennepin County; Minnesota","median_income",58932,2985
"235","270530222001","Block Group 1; Census Tract 222; Hennepin County; Minnesota","median_income",117266,85522
"236","270530222002","Block Group 2; Census Tract 222; Hennepin County; Minnesota","median_income",147878,97712
"237","270530222003","Block Group 3; Census Tract 222; Hennepin County; Minnesota","median_income",167708,37052
"238","270530222004","Block Group 4; Census Tract 222; Hennepin County; Minnesota","median_income",92381,45916
"239","270530222005","Block Group 5; Census Tract 222; Hennepin County; Minnesota","median_income",89750,14086
"240","270530223011","Block Group 1; Census Tract 223.01; Hennepin County; Minnesota","median_income",136019,31069
"241","270530223012","Block Group 2; Census Tract 223.01; Hennepin County; Minnesota","median_income",77115,19367
"242","270530223021","Block Group 1; Census Tract 223.02; Hennepin County; Minnesota","median_income",49399,13129
"243","270530223022","Block Group 2; Census Tract 223.02; Hennepin County; Minnesota","median_income",59830,27062
"244","270530223023","Block Group 3; Census Tract 223.02; Hennepin County; Minnesota","median_income",66953,18880
"245","270530224001","Block Group 1; Census Tract 224; Hennepin County; Minnesota","median_income",132833,40881
